function	arguments	platform	pure_rust	ulp	classification
log	3bc79ca10c924223	c047069e2aa2aa5b	c047069e2aa2aa5b	0	ordinary
log	4415af1d78b58c40	4047069e2aa2aa5b	4047069e2aa2aa5b	0	ordinary
log	400921fb54442d18	3ff250d048e7a1bd	3ff250d048e7a1bd	0	ordinary
log	3fefffffffffffff	bca0000000000000	bca0000000000000	0	ordinary
log	3ff0000000000001	3cafffffffffffff	3cafffffffffffff	0	ordinary
log1p	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
log1p	0000000000000000	0000000000000000	0000000000000000	0	exact
log1p	8000000000000000	8000000000000000	8000000000000000	0	exact
log1p	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
log1p	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
log1p	0000000000000001	0000000000000001	0000000000000001	0	ordinary
log1p	7fefffffffffffff	40862e42fefa39ef	40862e42fefa39ef	0	ordinary
log1p	bff0000000000000	fff0000000000000	fff0000000000000	0	exact
log1p	3ff0000000000000	3fe62e42fefa39ef	3fe62e42fefa39ef	0	ordinary
log1p	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
log1p	4000000000000000	3ff193ea7aad030b	3ff193ea7aad030a	1	ordinary
log1p	3fe6666666666666	3fe0fae81914a991	3fe0fae81914a991	0	ordinary
log1p	3ffb333333333333	3fefc8b7f138bde9	3fefc8b7f138bdea	1	ordinary
log1p	bfe6666666666666	bff34378fcbda720	bff34378fcbda720	0	ordinary
log1p	3bc79ca10c924223	3bc79ca10c924223	3bc79ca10c924223	0	ordinary
log1p	4415af1d78b58c40	4047069e2aa2aa5b	4047069e2aa2aa5b	0	ordinary
log1p	400921fb54442d18	3ff6bcbed09f00af	3ff6bcbed09f00af	0	ordinary
log1p	3fefffffffffffff	3fe62e42fefa39ef	3fe62e42fefa39ef	0	ordinary
log1p	3ff0000000000001	3fe62e42fefa39f0	3fe62e42fefa39f0	0	ordinary
log10	7ff8000000000000	7ff8000000000000	7ff8000000000000	0	exact
log10	0000000000000000	fff0000000000000	fff0000000000000	0	exact
log10	8000000000000000	fff0000000000000	fff0000000000000	0	exact
log10	7ff0000000000000	7ff0000000000000	7ff0000000000000	0	exact
log10	fff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
log10	0000000000000001	c07434e6420f4374	c07434e6420f4374	0	ordinary
log10	7fefffffffffffff	40734413509f79ff	40734413509f79ff	0	ordinary
log10	bff0000000000000	7ff8000000000000	7ff8000000000000	0	exact
log10	3ff0000000000000	0000000000000000	0000000000000000	0	exact
log10	c000000000000000	7ff8000000000000	7ff8000000000000	0	exact
log10	4000000000000000	3fd34413509f79ff	3fd34413509f79ff	0	ordinary
